id,hcp_id,hcf_id,agent_type,charge,created_at,shift_start,shift_type,is_cancelled,is_verified
5f18adbb6145d4001773f69f,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,28,07/22,08/17,am,TRUE,FALSE
5f18ade019ed420017bb14c3,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,28,07/22,08/24,am,TRUE,FALSE
5f18adeb19ed420017bb14c6,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,28,07/22,08/31,am,TRUE,FALSE
5f18adf43d5e0b0017498604,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,42,07/22,09/07,am,TRUE,FALSE
5f18ae003d5e0b001749860f,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,28,07/22,09/14,am,TRUE,FALSE
5f18ae0b3d5e0b0017498612,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,28,07/22,09/21,am,TRUE,FALSE
5f18ae156145d4001773f6b2,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,28,07/22,09/28,am,TRUE,FALSE
5f18ae1f19ed420017bb14da,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,28,07/22,10/05,am,TRUE,FALSE
5f18ae273d5e0b0017498617,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,28,07/22,10/12,am,TRUE,FALSE
5f18ae3619ed420017bb14e2,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,28,07/22,10/19,am,TRUE,FALSE
5f18ae4cf3688300177c081f,5b5635b34afc8f0014a40433,5e6662c827dbec0016767584,CNA,28,07/22,10/26,am,TRUE,FALSE
5efccad4191a970017d3e28e,5b6dda6d6ce3150014cc74c6,5bd20a2c2f1b850004d0f55e,LVN,42,07/01,07/22,am,TRUE,FALSE
5efccaf98be2570017d3e40e,5b6dda6d6ce3150014cc74c6,5bd20a2c2f1b850004d0f55e,LVN,42,07/01,07/30,am,TRUE,FALSE
5f5c43282f95160016b74248,5b6dda6d6ce3150014cc74c6,5bd20a2c2f1b850004d0f55e,LVN,42,09/12,09/13,noc,FALSE,TRUE
5f5c432d2f95160016b7424b,5b6dda6d6ce3150014cc74c6,5bd20a2c2f1b850004d0f55e,LVN,42,09/12,09/14,noc,FALSE,TRUE
5f5c43362f95160016b7424e,5b6dda6d6ce3150014cc74c6,5bd20a2c2f1b850004d0f55e,LVN,42,09/12,09/19,noc,TRUE,FALSE
5f6009db3f190e001656402b,5b6dda6d6ce3150014cc74c6,5e8dce39ee2690001638ce46,LVN,51,09/15,10/02,noc,FALSE,FALSE
5f6009e63f190e001656402f,5b6dda6d6ce3150014cc74c6,5e8dce39ee2690001638ce46,LVN,51,09/15,10/08,noc,FALSE,FALSE
5f6009ed3f190e0016564032,5b6dda6d6ce3150014cc74c6,5e8dce39ee2690001638ce46,LVN,51,09/15,10/14,noc,FALSE,FALSE
5f6009f33f190e0016564035,5b6dda6d6ce3150014cc74c6,5e8dce39ee2690001638ce46,LVN,51,09/15,10/20,noc,FALSE,FALSE
5f6009f83f190e001656403c,5b6dda6d6ce3150014cc74c6,5e8dce39ee2690001638ce46,LVN,53,09/15,10/26,noc,FALSE,FALSE
5f6009fc3f190e001656403f,5b6dda6d6ce3150014cc74c6,5e8dce39ee2690001638ce46,LVN,53,09/15,11/01,noc,FALSE,FALSE
5f08cef77685200017c83a7e,5b6e37ff625376001402de0f,5be0b0d2ba64030004d2117c,CNA,35,07/10,07/21,am,FALSE,TRUE
5f08cf0b7685200017c83a87,5b6e37ff625376001402de0f,5be0b0d2ba64030004d2117c,CNA,35,07/10,07/23,am,FALSE,TRUE
5f458ae65b9cad0016cd7b20,5b6e37ff625376001402de0f,5b70ed73e318270014cd6bee,CNA,24,08/25,09/16,pm,FALSE,TRUE
5f48303ec0b6bd001607de6a,5b6e37ff625376001402de0f,5bd20a2c2f1b850004d0f55e,CNA,26,08/27,09/26,noc,FALSE,FALSE
5f483040c0b6bd001607de6d,5b6e37ff625376001402de0f,5bd20a2c2f1b850004d0f55e,CNA,26,08/27,09/27,noc,FALSE,FALSE
5f483042f46eec0016416693,5b6e37ff625376001402de0f,5bd20a2c2f1b850004d0f55e,CNA,26,08/27,09/28,noc,FALSE,FALSE
5f4d8f73d621a000165c824e,5b6e37ff625376001402de0f,5bb380e8945fd200046cad4c,CNA,24,09/01,09/12,am,TRUE,FALSE
5f51699faeb9cb0016ef8921,5b6e37ff625376001402de0f,5f2ae7490153c70016c840f5,CNA,45,09/03,09/05,am,FALSE,TRUE
5f52b8e03d95610016e0b83d,5b6e37ff625376001402de0f,5f2ae7490153c70016c840f5,CNA,49.5,09/04,09/07,am,FALSE,TRUE
5f52cacd8c405c0016d31945,5b6e37ff625376001402de0f,5f2ae7490153c70016c840f5,CNA,45,09/04,09/05,pm,FALSE,TRUE
5f5807275684fc001618cf6c,5b6e37ff625376001402de0f,5bb380e8945fd200046cad4c,CNA,24,09/08,09/14,am,FALSE,TRUE
5f2dfa20e1bcf700161e1e3f,5bb684553e5353000430e587,5f2df9b9dfb6250016bdff3c,CNA,35,08/08,08/08,am,FALSE,TRUE
